segment,name,exchange,instrument_type,instrument_key,exchange_token,trading_symbol
NSE_INDEX,NIFTY100 Qualty30,NSE,INDEX,NSE_INDEX|NIFTY100 Qualty30,26048,NIFTY100 QUALTY30
BSE_INDEX,BSE India Defence,BSE,INDEX,BSE_INDEX|INDDEF,96,INDDEF
NSE_INDEX,Nifty Consumption,NSE,INDEX,NSE_INDEX|Nifty Consumption,26036,NIFTY CONSUMPTION
NSE_INDEX,Nifty Rural,NSE,INDEX,NSE_INDEX|Nifty Rural,26125,NIFTY RURAL
BSE_INDEX,BSE FINANCIAL SERVCS,BSE,INDEX,BSE_INDEX|FINSER,40,FINSER
NSE_INDEX,Nifty CoreHousing,NSE,INDEX,NSE_INDEX|Nifty CoreHousing,26117,NIFTY COREHOUSING
NSE_INDEX,Nifty Realty,NSE,INDEX,NSE_INDEX|Nifty Realty,26018,NIFTY REALTY
NSE_INDEX,Nifty RailwaysPSU,NSE,INDEX,NSE_INDEX|Nifty RailwaysPSU,26146,NIFTY RAILWAYSPSU
BSE_INDEX,BSE INDIA 150,BSE,INDEX,BSE_INDEX|IND150,90,IND150
BSE_INDEX,BSE BANKEX,BSE,INDEX,BSE_INDEX|BANKEX,12,BANKEX
NSE_INDEX,NIFTY100 ESG,NSE,INDEX,NSE_INDEX|NIFTY100 ESG,26078,NIFTY100 ESG
NSE_INDEX,Nifty FPI 150,NSE,INDEX,NSE_INDEX|Nifty FPI 150,26139,NIFTY FPI 150
BSE_INDEX,BSE REALTY,BSE,INDEX,BSE_INDEX|REALTY,21,REALTY
NSE_INDEX,Nifty InfraLog,NSE,INDEX,NSE_INDEX|Nifty InfraLog,26144,NIFTY INFRALOG
BSE_INDEX,BSE SENSEX SIXTY,BSE,INDEX,BSE_INDEX|SNSX60,69,SNSX60
BSE_INDEX,BSE 1000,BSE,INDEX,BSE_INDEX|BS1000,83,BS1000
BSE_INDEX,BSE Top 10 Banks,BSE,INDEX,BSE_INDEX|T10BNK,102,T10BNK
NSE_INDEX,Nifty EV,NSE,INDEX,NSE_INDEX|Nifty EV,26101,NIFTY EV
NSE_INDEX,Nifty IT,NSE,INDEX,NSE_INDEX|Nifty IT,26008,NIFTY IT
NSE_INDEX,Nifty PSE,NSE,INDEX,NSE_INDEX|Nifty PSE,26024,NIFTY PSE
NSE_INDEX,Nifty 50,NSE,INDEX,NSE_INDEX|Nifty 50,26000,NIFTY
NSE_INDEX,Nifty Next 50,NSE,INDEX,NSE_INDEX|Nifty Next 50,26013,NIFTYNXT50
BSE_INDEX,BSE INTERNET ECONOMY,BSE,INDEX,BSE_INDEX|INTECO,73,INTECO
NSE_INDEX,Nifty IPO,NSE,INDEX,NSE_INDEX|Nifty IPO,26120,NIFTY IPO
NSE_INDEX,India VIX,NSE,INDEX,NSE_INDEX|India VIX,26017,INDIA VIX
BSE_INDEX,BSE INDIA MFG INDEX,BSE,INDEX,BSE_INDEX|MFG,35,MFG
NSE_INDEX,Nifty MNC,NSE,INDEX,NSE_INDEX|Nifty MNC,26022,NIFTY MNC
NSE_INDEX,NIFTY IND DIGITAL,NSE,INDEX,NSE_INDEX|NIFTY IND DIGITAL,26077,NIFTY IND DIGITAL
NSE_INDEX,NIFTY MICROCAP250,NSE,INDEX,NSE_INDEX|NIFTY MICROCAP250,26076,NIFTY MICROCAP250
NSE_INDEX,Nifty Sml250 Q50,NSE,INDEX,NSE_INDEX|Nifty Sml250 Q50,26108,NIFTY SML250 Q50
NSE_INDEX,Nifty50 Value 20,NSE,INDEX,NSE_INDEX|Nifty50 Value 20,26045,NIFTY50 VALUE 20
NSE_INDEX,NiftyM150Momntm50,NSE,INDEX,NSE_INDEX|NiftyM150Momntm50,26082,NIFTYM150MOMNTM50
BSE_INDEX,BSE FOCUSED MIDCAP,BSE,INDEX,BSE_INDEX|FOCMID,77,FOCMID
NSE_INDEX,Nifty500 LMS Eql,NSE,INDEX,NSE_INDEX|Nifty500 LMS Eql,26129,NIFTY500 LMS EQL
NSE_INDEX,Nifty500 Qlty50,NSE,INDEX,NSE_INDEX|Nifty500 Qlty50,26131,NIFTY500 QLTY50
NSE_INDEX,NIFTY INDIA MFG,NSE,INDEX,NSE_INDEX|NIFTY INDIA MFG,26080,NIFTY INDIA MFG
NSE_INDEX,Nifty500 Flexicap,NSE,INDEX,NSE_INDEX|Nifty500 Flexicap,26135,NIFTY500 FLEXICAP
NSE_INDEX,Nifty50 TR 2x Lev,NSE,INDEX,NSE_INDEX|Nifty50 TR 2x Lev,26043,NIFTY50 TR 2X LEV
NSE_INDEX,Nifty100ESGSecLdr,NSE,INDEX,NSE_INDEX|Nifty100ESGSecLdr,26068,NIFTY100ESGSECLDR
NSE_INDEX,Nifty Multi MQ 50,NSE,INDEX,NSE_INDEX|Nifty Multi MQ 50,26114,NIFTY MULTI MQ 50
NSE_INDEX,Nifty AQL 30,NSE,INDEX,NSE_INDEX|Nifty AQL 30,26099,NIFTY AQL 30
NSE_INDEX,Nifty500 LowVol50,NSE,INDEX,NSE_INDEX|Nifty500 LowVol50,26132,NIFTY500 LOWVOL50
NSE_INDEX,Nifty HighBeta 50,NSE,INDEX,NSE_INDEX|Nifty HighBeta 50,26102,NIFTY HIGHBETA 50
BSE_INDEX,BSE DVND STABILITY,BSE,INDEX,BSE_INDEX|BSEDSI,59,BSEDSI
BSE_INDEX,BSE 500,BSE,INDEX,BSE_INDEX|BSE500,4,BSE500
NSE_INDEX,Nifty200 Alpha 30,NSE,INDEX,NSE_INDEX|Nifty200 Alpha 30,26081,NIFTY200 ALPHA 30
NSE_INDEX,Nifty FinSrv25 50,NSE,INDEX,NSE_INDEX|Nifty FinSrv25 50,26065,NIFTY FINSRV25 50
NSE_INDEX,Nifty Pvt Bank,NSE,INDEX,NSE_INDEX|Nifty Pvt Bank,26047,NIFTY PVT BANK
NSE_INDEX,NIFTY CONSR DURBL,NSE,INDEX,NSE_INDEX|NIFTY CONSR DURBL,26070,NIFTY CONSR DURBL
NSE_INDEX,Nifty New Consump,NSE,INDEX,NSE_INDEX|Nifty New Consump,26103,NIFTY NEW CONSUMP
NSE_INDEX,Nifty Ind Defence,NSE,INDEX,NSE_INDEX|Nifty Ind Defence,26092,NIFTY IND DEFENCE
NSE_INDEX,Nifty100 Liq 15,NSE,INDEX,NSE_INDEX|Nifty100 Liq 15,26040,NIFTY100 LIQ 15
BSE_INDEX,BSE 150 MIDCAP INDEX,BSE,INDEX,BSE_INDEX|MID150,55,MID150
BSE_INDEX,BSE POWER & ENERGY,BSE,INDEX,BSE_INDEX|POWENE,71,POWENE
BSE_INDEX,BSE 100,BSE,INDEX,BSE_INDEX|BSE100,2,BSE100
BSE_INDEX,BSE 200,BSE,INDEX,BSE_INDEX|BSE200,3,BSE200
BSE_INDEX,BSE FOCUSED IT,BSE,INDEX,BSE_INDEX|FOCIT,75,FOCIT
NSE_INDEX,Nifty Low Vol 50,NSE,INDEX,NSE_INDEX|Nifty Low Vol 50,26105,NIFTY LOW VOL 50
NSE_INDEX,Nifty GS 8 13Yr,NSE,INDEX,NSE_INDEX|Nifty GS 8 13Yr,26049,NIFTY GS 8 13YR
NSE_INDEX,NIFTY OIL AND GAS,NSE,INDEX,NSE_INDEX|NIFTY OIL AND GAS,26071,NIFTY OIL AND GAS
NSE_INDEX,Nifty Top 10 EW,NSE,INDEX,NSE_INDEX|Nifty Top 10 EW,26098,NIFTY TOP 10 EW
NSE_INDEX,Nifty Capital Mkt,NSE,INDEX,NSE_INDEX|Nifty Capital Mkt,26094,NIFTY CAPITAL MKT
NSE_INDEX,Nifty Qlty LV 30,NSE,INDEX,NSE_INDEX|Nifty Qlty LV 30,26107,NIFTY QLTY LV 30
BSE_INDEX,BSE 200 EQUAL WEIGHT,BSE,INDEX,BSE_INDEX|200EQW,72,200EQW
NSE_INDEX,Nifty Internet,NSE,INDEX,NSE_INDEX|Nifty Internet,26141,NIFTY INTERNET
NSE_INDEX,Nifty Pharma,NSE,INDEX,NSE_INDEX|Nifty Pharma,26023,NIFTY PHARMA
NSE_INDEX,Nifty GS 10Yr Cln,NSE,INDEX,NSE_INDEX|Nifty GS 10Yr Cln,26051,NIFTY GS 10YR CLN
NSE_INDEX,Nifty AQLV 30,NSE,INDEX,NSE_INDEX|Nifty AQLV 30,26100,NIFTY AQLV 30
BSE_INDEX,BSE SENSEXSIXTY 65:35,BSE,INDEX,BSE_INDEX|SS6535,70,SS6535
NSE_INDEX,NiftySml250MQ 100,NSE,INDEX,NSE_INDEX|NiftySml250MQ 100,26097,NIFTYSML250MQ 100
NSE_INDEX,Nifty SME Emerge,NSE,INDEX,NSE_INDEX|Nifty SME Emerge,26140,NIFTY SME EMERGE
NSE_INDEX,NIFTY50 EQL Wgt,NSE,INDEX,NSE_INDEX|NIFTY50 EQL Wgt,26056,NIFTY50 EQL WGT
BSE_INDEX,BSE 100 ESG INDEX,BSE,INDEX,BSE_INDEX|ESG100,50,ESG100
NSE_INDEX,Nifty Trans Logis,NSE,INDEX,NSE_INDEX|Nifty Trans Logis,26127,NIFTY TRANS LOGIS
NSE_INDEX,Nifty500 MQVLv50,NSE,INDEX,NSE_INDEX|Nifty500 MQVLv50,26133,NIFTY500 MQVLV50
NSE_INDEX,Nifty Commodities,NSE,INDEX,NSE_INDEX|Nifty Commodities,26035,NIFTY COMMODITIES
NSE_INDEX,Nifty50 PR 1x Inv,NSE,INDEX,NSE_INDEX|Nifty50 PR 1x Inv,26042,NIFTY50 PR 1X INV
NSE_INDEX,Nifty PSU Bank,NSE,INDEX,NSE_INDEX|Nifty PSU Bank,26025,NIFTY PSU BANK
NSE_INDEX,Nifty Waves,NSE,INDEX,NSE_INDEX|Nifty Waves,26143,NIFTY WAVES
NSE_INDEX,Nifty50 Div Point,NSE,INDEX,NSE_INDEX|Nifty50 Div Point,26038,NIFTY50 DIV POINT
BSE_INDEX,BSE INDUSTRIALS,BSE,INDEX,BSE_INDEX|INDSTR,41,INDSTR
NSE_INDEX,NIFTY AlphaLowVol,NSE,INDEX,NSE_INDEX|NIFTY AlphaLowVol,26066,NIFTY ALPHALOWVOL
NSE_INDEX,NIFTY MIDSML 400,NSE,INDEX,NSE_INDEX|NIFTY MIDSML 400,26063,NIFTY MIDSML 400
BSE_INDEX,BSE 500 QUALITY 50,BSE,INDEX,BSE_INDEX|QUAL50,89,QUAL50
NSE_INDEX,NIFTY SMLCAP 50,NSE,INDEX,NSE_INDEX|NIFTY SMLCAP 50,26061,NIFTY SMLCAP 50
NSE_INDEX,Nifty500 Health,NSE,INDEX,NSE_INDEX|Nifty500 Health,26145,NIFTY500 HEALTH
NSE_INDEX,Nifty Corp MAATR,NSE,INDEX,NSE_INDEX|Nifty Corp MAATR,26104,NIFTY CORP MAATR
NSE_INDEX,Nifty200Momentm30,NSE,INDEX,NSE_INDEX|Nifty200Momentm30,26067,NIFTY200MOMENTM30
BSE_INDEX,BSE PSU BANK,BSE,INDEX,BSE_INDEX|PSUBNK,81,PSUBNK
NSE_INDEX,NIFTY TOTAL MKT,NSE,INDEX,NSE_INDEX|NIFTY TOTAL MKT,26075,NIFTY TOTAL MKT
NSE_INDEX,Nifty100 Enh ESG,NSE,INDEX,NSE_INDEX|Nifty100 Enh ESG,26111,NIFTY100 ENH ESG
BSE_INDEX,BSE BHARAT 22 INDEX,BSE,INDEX,BSE_INDEX|BHRT22,49,BHRT22
NSE_INDEX,Nifty GrowSect 15,NSE,INDEX,NSE_INDEX|Nifty GrowSect 15,26001,NIFTY GROWSECT 15
NSE_INDEX,NIFTY200 QUALTY30,NSE,INDEX,NSE_INDEX|NIFTY200 QUALTY30,26064,NIFTY200 QUALTY30
NSE_INDEX,NIFTY LARGEMID250,NSE,INDEX,NSE_INDEX|NIFTY LARGEMID250,26073,NIFTY LARGEMID250
NSE_INDEX,Nifty Media,NSE,INDEX,NSE_INDEX|Nifty Media,26031,NIFTY MEDIA
BSE_INDEX,BSE POWER,BSE,INDEX,BSE_INDEX|POWER,22,POWER
NSE_INDEX,Nifty Housing,NSE,INDEX,NSE_INDEX|Nifty Housing,26119,NIFTY HOUSING
NSE_INDEX,Nifty50 Shariah,NSE,INDEX,NSE_INDEX|Nifty50 Shariah,26128,NIFTY50 SHARIAH
NSE_INDEX,Nifty CPSE,NSE,INDEX,NSE_INDEX|Nifty CPSE,26041,NIFTY CPSE
BSE_INDEX,BSE 500 Dvnd Leader50,BSE,INDEX,BSE_INDEX|DIVY50,91,DIVY50
NSE_INDEX,Nifty Midcap 50,NSE,INDEX,NSE_INDEX|Nifty Midcap 50,26014,NIFTY MIDCAP 50
NSE_INDEX,Nifty500 Shariah,NSE,INDEX,NSE_INDEX|Nifty500 Shariah,26130,NIFTY500 SHARIAH
BSE_INDEX,BSE SENSEX NEXT 50,BSE,INDEX,BSE_INDEX|SNXT50,48,SNXT50
NSE_INDEX,Nifty Auto,NSE,INDEX,NSE_INDEX|Nifty Auto,26029,NIFTY AUTO
NSE_INDEX,Nifty Shariah 25,NSE,INDEX,NSE_INDEX|Nifty Shariah 25,26126,NIFTY SHARIAH 25
BSE_INDEX,BSE 250 SMALLCAP,BSE,INDEX,BSE_INDEX|SML250,56,SML250
NSE_INDEX,Nifty Multi Mfg,NSE,INDEX,NSE_INDEX|Nifty Multi Mfg,26085,NIFTY MULTI MFG
NSE_INDEX,Nifty Infra,NSE,INDEX,NSE_INDEX|Nifty Infra,26019,NIFTY INFRA
BSE_INDEX,BSE SENSEX NEXT 30,BSE,INDEX,BSE_INDEX|SNXN30,68,SNXN30
NSE_INDEX,Nifty MidSml Hlth,NSE,INDEX,NSE_INDEX|Nifty MidSml Hlth,26084,NIFTY MIDSML HLTH
NSE_INDEX,Nifty MS Ind Cons,NSE,INDEX,NSE_INDEX|Nifty MS Ind Cons,26122,NIFTY MS IND CONS
BSE_INDEX,BSE 500 MOMENTUM 50,BSE,INDEX,BSE_INDEX|MOME50,93,MOME50
NSE_INDEX,Nifty Bank,NSE,INDEX,NSE_INDEX|Nifty Bank,26009,BANKNIFTY
BSE_INDEX,BSE CONSUMER DISCRE,BSE,INDEX,BSE_INDEX|CONDIS,38,CONDIS
NSE_INDEX,Nifty GS Compsite,NSE,INDEX,NSE_INDEX|Nifty GS Compsite,26055,NIFTY GS COMPSITE
NSE_INDEX,Nifty Mobility,NSE,INDEX,NSE_INDEX|Nifty Mobility,26106,NIFTY MOBILITY
NSE_INDEX,Nifty Div Opps 50,NSE,INDEX,NSE_INDEX|Nifty Div Opps 50,26034,NIFTY DIV OPPS 50
BSE_INDEX,BSE DIVERS FIN REV GR,BSE,INDEX,BSE_INDEX|DFRGRI,64,DFRGRI
NSE_INDEX,Nifty200 Value 30,NSE,INDEX,NSE_INDEX|Nifty200 Value 30,26112,NIFTY200 VALUE 30
BSE_INDEX,BSE AUTO,BSE,INDEX,BSE_INDEX|AUTO,13,AUTO
NSE_INDEX,Nifty Energy,NSE,INDEX,NSE_INDEX|Nifty Energy,26020,NIFTY ENERGY
BSE_INDEX,BSE CAP MKTS & INSU,BSE,INDEX,BSE_INDEX|CAPINS,74,CAPINS
BSE_INDEX,BSE ENERGY,BSE,INDEX,BSE_INDEX|ENERGY,39,ENERGY
BSE_INDEX,BSE Select IPO,BSE,INDEX,BSE_INDEX|SELIPO,80,SELIPO
NSE_INDEX,Nifty NonCyc Cons,NSE,INDEX,NSE_INDEX|Nifty NonCyc Cons,26124,NIFTY NONCYC CONS
NSE_INDEX,NIFTY MID SELECT,NSE,INDEX,NSE_INDEX|NIFTY MID SELECT,26074,MIDCPNIFTY
NSE_INDEX,NiftyMS400 MQ 100,NSE,INDEX,NSE_INDEX|NiftyMS400 MQ 100,26096,NIFTYMS400 MQ 100
NSE_INDEX,Nifty Ind Tourism,NSE,INDEX,NSE_INDEX|Nifty Ind Tourism,26093,NIFTY IND TOURISM
BSE_INDEX,BSE PRIVATE BANKS,BSE,INDEX,BSE_INDEX|BSEPBI,66,BSEPBI
BSE_INDEX,BSE 400 MIDSMALLCAP,BSE,INDEX,BSE_INDEX|MSL400,58,MSL400
BSE_INDEX,BSE PSU,BSE,INDEX,BSE_INDEX|BSEPSU,10,BSEPSU
BSE_INDEX,BSE QUALITY INDEX,BSE,INDEX,BSE_INDEX|BSEQUI,63,BSEQUI
NSE_INDEX,Nifty500Momentm50,NSE,INDEX,NSE_INDEX|Nifty500Momentm50,26095,NIFTY500MOMENTM50
BSE_INDEX,BSE MIDCAP SELECT,BSE,INDEX,BSE_INDEX|MIDSEL,43,MIDSEL
NSE_INDEX,NiftyConglomerate,NSE,INDEX,NSE_INDEX|NiftyConglomerate,26147,NIFTYCONGLOMERATE
BSE_INDEX,BSE Services,BSE,INDEX,BSE_INDEX|BSESER,67,BSESER
NSE_INDEX,BHARATBOND-APR31,NSE,INDEX,NSE_INDEX|BHARATBOND-APR31,26089,BHARATBOND-APR31
NSE_INDEX,BHARATBOND-APR32,NSE,INDEX,NSE_INDEX|BHARATBOND-APR32,26090,BHARATBOND-APR32
NSE_INDEX,BHARATBOND-APR30,NSE,INDEX,NSE_INDEX|BHARATBOND-APR30,26088,BHARATBOND-APR30
NSE_INDEX,BHARATBOND-APR33,NSE,INDEX,NSE_INDEX|BHARATBOND-APR33,26091,BHARATBOND-APR33
BSE_INDEX,BSE ENHANCED VALUE,BSE,INDEX,BSE_INDEX|BSEEVI,60,BSEEVI
NSE_INDEX,Nifty Fin Service,NSE,INDEX,NSE_INDEX|Nifty Fin Service,26037,FINNIFTY
BSE_INDEX,BSE FMCG,BSE,INDEX,BSE_INDEX|BSEFMC,32,BSEFMC
NSE_INDEX,Nifty Metal,NSE,INDEX,NSE_INDEX|Nifty Metal,26030,NIFTY METAL
BSE_INDEX,BSE IPO,BSE,INDEX,BSE_INDEX|BSEIPO,23,BSEIPO
NSE_INDEX,Nifty500 EW,NSE,INDEX,NSE_INDEX|Nifty500 EW,26113,NIFTY500 EW
NSE_INDEX,Nifty50 PR 2x Lev,NSE,INDEX,NSE_INDEX|Nifty50 PR 2x Lev,26002,NIFTY50 PR 2X LEV
BSE_INDEX,BSE COMMODITIES,BSE,INDEX,BSE_INDEX|COMDTY,37,COMDTY
BSE_INDEX,BSE LOW VOLATILITY,BSE,INDEX,BSE_INDEX|BSELVI,61,BSELVI
BSE_INDEX,BSE MOMENTUM INDEX,BSE,INDEX,BSE_INDEX|BSEMOI,62,BSEMOI
NSE_INDEX,NIFTY MIDCAP 100,NSE,INDEX,NSE_INDEX|NIFTY MIDCAP 100,26011,NIFTY MIDCAP 100
BSE_INDEX,BSE INDIA SECT LEADER,BSE,INDEX,BSE_INDEX|INSLDR,82,INSLDR
NSE_INDEX,NIFTY MIDCAP 150,NSE,INDEX,NSE_INDEX|NIFTY MIDCAP 150,26060,NIFTY MIDCAP 150
NSE_INDEX,Nifty 100,NSE,INDEX,NSE_INDEX|Nifty 100,26012,NIFTY 100
NSE_INDEX,NIFTY100 LowVol30,NSE,INDEX,NSE_INDEX|NIFTY100 LowVol30,26058,NIFTY100 LOWVOL30
NSE_INDEX,Nifty 200,NSE,INDEX,NSE_INDEX|Nifty 200,26033,NIFTY 200
NSE_INDEX,Nifty Mid Liq 15,NSE,INDEX,NSE_INDEX|Nifty Mid Liq 15,26046,NIFTY MID LIQ 15
BSE_INDEX,BSE SME IPO,BSE,INDEX,BSE_INDEX|SMEIPO,27,SMEIPO
NSE_INDEX,Nifty 500,NSE,INDEX,NSE_INDEX|Nifty 500,26004,NIFTY 500
BSE_INDEX,BSE 100 LARGECAP TMC,BSE,INDEX,BSE_INDEX|LCTMCI,65,LCTMCI
NSE_INDEX,Nifty Chemicals,NSE,INDEX,NSE_INDEX|Nifty Chemicals,26142,NIFTY CHEMICALS
NSE_INDEX,Nifty Multi Infra,NSE,INDEX,NSE_INDEX|Nifty Multi Infra,26086,NIFTY MULTI INFRA
NSE_INDEX,Nifty GS 15YrPlus,NSE,INDEX,NSE_INDEX|Nifty GS 15YrPlus,26054,NIFTY GS 15YRPLUS
NSE_INDEX,Nifty FinSerExBnk,NSE,INDEX,NSE_INDEX|Nifty FinSerExBnk,26118,NIFTY FINSEREXBNK
BSE_INDEX,BSE METAL,BSE,INDEX,BSE_INDEX|METAL,14,METAL
BSE_INDEX,BSE TECK,BSE,INDEX,BSE_INDEX|TECK,11,TECK
BSE_INDEX,BSE PREMIUM CONSUMPT,BSE,INDEX,BSE_INDEX|PRECON,76,PRECON
BSE_INDEX,BSE CPSE,BSE,INDEX,BSE_INDEX|CPSE,29,CPSE
NSE_INDEX,Nifty Serv Sector,NSE,INDEX,NSE_INDEX|Nifty Serv Sector,26026,NIFTY SERV SECTOR
NSE_INDEX,Nifty100 Alpha 30,NSE,INDEX,NSE_INDEX|Nifty100 Alpha 30,26110,NIFTY100 ALPHA 30
NSE_INDEX,Nifty Top 20 EW,NSE,INDEX,NSE_INDEX|Nifty Top 20 EW,26116,NIFTY TOP 20 EW
NSE_INDEX,Nifty500 Value 50,NSE,INDEX,NSE_INDEX|Nifty500 Value 50,26115,NIFTY500 VALUE 50
NSE_INDEX,Nifty GS 10Yr,NSE,INDEX,NSE_INDEX|Nifty GS 10Yr,26050,NIFTY GS 10YR
NSE_INDEX,Nifty50 USD,NSE,INDEX,NSE_INDEX|Nifty50 USD,26134,NIFTY50 USD
NSE_INDEX,Nifty Tata 25 Cap,NSE,INDEX,NSE_INDEX|Nifty Tata 25 Cap,26083,NIFTY TATA 25 CAP
NSE_INDEX,NIFTY SMLCAP 100,NSE,INDEX,NSE_INDEX|NIFTY SMLCAP 100,26032,NIFTY SMLCAP 100
BSE_INDEX,BSE 250 LARGEMIDCAP,BSE,INDEX,BSE_INDEX|LMI250,57,LMI250
BSE_INDEX,BSE SEL BUSINESS GRP,BSE,INDEX,BSE_INDEX|BBGEFS,78,BBGEFS
NSE_INDEX,NIFTY SMLCAP 250,NSE,INDEX,NSE_INDEX|NIFTY SMLCAP 250,26062,NIFTY SMLCAP 250
NSE_INDEX,Nifty TMMQ 50,NSE,INDEX,NSE_INDEX|Nifty TMMQ 50,26136,NIFTY TMMQ 50
NSE_INDEX,Nifty FMCG,NSE,INDEX,NSE_INDEX|Nifty FMCG,26021,NIFTY FMCG
BSE_INDEX,BSE SENSEX,BSE,INDEX,BSE_INDEX|SENSEX,1,SENSEX
BSE_INDEX,BSE UTILITIES,BSE,INDEX,BSE_INDEX|UTILS,46,UTILS
NSE_INDEX,Nifty MS Fin Serv,NSE,INDEX,NSE_INDEX|Nifty MS Fin Serv,26121,NIFTY MS FIN SERV
NSE_INDEX,Nifty Top 15 EW,NSE,INDEX,NSE_INDEX|Nifty Top 15 EW,26109,NIFTY TOP 15 EW
NSE_INDEX,NIFTY500 MULTICAP,NSE,INDEX,NSE_INDEX|NIFTY500 MULTICAP,26072,NIFTY500 MULTICAP
NSE_INDEX,NIFTY HEALTHCARE,NSE,INDEX,NSE_INDEX|NIFTY HEALTHCARE,26069,NIFTY HEALTHCARE
NSE_INDEX,Nifty GS 4 8Yr,NSE,INDEX,NSE_INDEX|Nifty GS 4 8Yr,26052,NIFTY GS 4 8YR
NSE_INDEX,NIFTY M150 QLTY50,NSE,INDEX,NSE_INDEX|NIFTY M150 QLTY50,26079,NIFTY M150 QLTY50
BSE_INDEX,BSE INDIA INFRA INDEX,BSE,INDEX,BSE_INDEX|INFRA,28,INFRA
NSE_INDEX,NIFTY100 EQL Wgt,NSE,INDEX,NSE_INDEX|NIFTY100 EQL Wgt,26057,NIFTY100 EQL WGT
BSE_INDEX,BSE OIL&GAS,BSE,INDEX,BSE_INDEX|OILGAS,15,OILGAS
BSE_INDEX,BSE SMALLCAP SELECT,BSE,INDEX,BSE_INDEX|SMLSEL,44,SMLSEL
NSE_INDEX,Nifty MS IT Telcm,NSE,INDEX,NSE_INDEX|Nifty MS IT Telcm,26123,NIFTY MS IT TELCM
BSE_INDEX,BSE SENSEX EQUAL WGT,BSE,INDEX,BSE_INDEX|SENEQW,79,SENEQW
NSE_INDEX,Nifty GS 11 15Yr,NSE,INDEX,NSE_INDEX|Nifty GS 11 15Yr,26053,NIFTY GS 11 15YR
BSE_INDEX,BSE Healthcare,BSE,INDEX,BSE_INDEX|BSEHC,33,BSEHC
BSE_INDEX,BSE IT,BSE,INDEX,BSE_INDEX|BSEIT,34,BSEIT
BSE_INDEX,BSE CAPITAL GOODS,BSE,INDEX,BSE_INDEX|BSECG,7,BSECG
BSE_INDEX,BSE CONSUMER DURABLES,BSE,INDEX,BSE_INDEX|BSECD,8,BSECD
NSE_INDEX,Nifty50 TR 1x Inv,NSE,INDEX,NSE_INDEX|Nifty50 TR 1x Inv,26044,NIFTY50 TR 1X INV
BSE_INDEX,BSE TELECOMMUNICATION,BSE,INDEX,BSE_INDEX|TELCOM,45,TELCOM
NSE_INDEX,NIFTY Alpha 50,NSE,INDEX,NSE_INDEX|NIFTY Alpha 50,26059,NIFTY ALPHA 50
BSE_INDEX,BSE SENSEX 50,BSE,INDEX,BSE_INDEX|SENSEX50,47,SENSEX50
